ind,rain_fall
"1",0.508
"2",1.016
"3",4.064
"4",0.254
"5",0.254
"6",7.874
"7",2.54
"8",1.778
"9",36.576
"10",22.098
"11",11.684
"12",1.27
"13",7.112
"14",1.27
"15",30.226
"16",1.016
"17",0.762
"18",5.588
"19",0.508
"20",1.27
"21",1.27
"22",0.254
"23",13.716
"24",1.27
"25",0.762
"26",2.54
"27",4.572
"28",0.508
"29",0.762
"30",0.508
"31",9.144
"32",0.762
"33",1.524
"34",0.254
"35",9.906
"36",14.986
"37",12.7
"38",16.002
"39",5.08
"40",3.81
"41",1.524
"42",6.858
"43",1.016
"44",4.318
"45",29.464
"46",10.922
"47",2.032
"48",10.16
"49",0.508
"50",12.446
"51",12.446
"52",0.762
"53",3.556
"54",4.572
"55",0.254
"56",11.684
"57",1.016
"58",1.27
"59",0.508
"60",11.176
"61",13.716
"62",12.954
"63",2.54
"64",19.304
"65",1.27
"66",7.874
"67",1.778
"68",0.762
"69",0.254
"70",1.27
"71",3.81
"72",8.636
"73",7.112
"74",1.27
"75",3.556
"76",0.254
"77",0.254
"78",0.254
"79",1.27
"80",12.192
"81",0.508
"82",0.762
"83",14.478
"84",2.54
"85",0.762
"86",2.54
"87",0.508
"88",1.524
"89",6.096
"90",2.032
"91",19.558
"92",3.556
"93",0.254
"94",0.508
"95",8.89
"96",1.27
"97",7.366
"98",2.286
"99",0.508
"100",17.78
"101",10.922
"102",2.032
"103",22.352
"104",5.334
"105",1.524
"106",8.128
"107",22.098
"108",10.16
"109",0.508
"110",2.794
"111",0.508
"112",0.254
"113",2.286
"114",0.254
"115",3.302
"116",0.762
"117",13.208
"118",21.59
"119",27.94
"120",2.286
"121",6.858
"122",0.762
"123",60.452
"124",23.368
"125",2.286
"126",5.842
"127",53.34
"128",16.764
"129",3.302
"130",13.208
"131",10.668
"132",0.254
"133",12.7
"134",2.032
"135",5.334
"136",14.732
"137",4.572
"138",0.254
"139",1.524
"140",1.27
"141",2.032
"142",12.192
"143",1.778
"144",20.32
"145",6.096
"146",0.508
"147",2.54
"148",2.286
"149",0.762
"150",0.254
"151",2.54
"152",0.762
"153",0.762
"154",2.286
"155",1.016
"156",13.716
"157",27.94
"158",12.192
"159",23.622
"160",7.112
"161",66.802
"162",28.448
"163",0.508
"164",31.496
"165",1.524
"166",15.24
"167",0.254
"168",2.286
"169",0.508
"170",3.81
"171",14.986
"172",4.064
"173",0.762
"174",7.62
"175",5.842
"176",5.08
"177",18.796
"178",1.778
"179",7.62
"180",4.826
"181",1.778
"182",1.016
"183",3.302
"184",1.524
"185",0.254
"186",0.254
"187",0.254
"188",0.254
"189",0.508
"190",1.27
"191",3.048
"192",2.794
"193",0.508
"194",0.508
"195",4.064
"196",5.842
"197",18.542
"198",5.588
"199",0.254
"200",2.54
"201",1.27
"202",2.794
"203",1.524
"204",3.048
"205",8.636
"206",0.762
"207",22.352
"208",10.668
"209",4.318
"210",0.762
"211",0.508
"212",6.096
"213",2.032
"214",0.762
"215",1.27
"216",5.334
"217",0.254
"218",2.54
"219",16.51
"220",2.54
"221",0.254
"222",3.302
"223",12.192
"224",9.144
"225",6.604
"226",1.27
"227",0.762
"228",0.762
"229",4.572
"230",1.524
"231",3.556
"232",7.874
"233",11.43
"234",0.254
"235",1.524
"236",34.036
"237",0.508
"238",4.318
"239",1.27
"240",6.604
"241",16.002
"242",0.762
"243",0.254
"244",12.7
"245",35.306
"246",10.922
"247",0.254
"248",7.366
"249",30.988
"250",1.524
"251",10.922
"252",17.018
"253",0.508
"254",0.508
"255",20.32
"256",4.064
"257",15.494
"258",23.876
"259",2.286
"260",1.778
"261",1.524
"262",0.762
"263",10.16
"264",0.508
"265",12.7
"266",0.254
"267",8.128
"268",5.08
"269",3.048
"270",0.508
"271",2.54
"272",1.778
"273",3.048
"274",0.508
"275",6.604
"276",0.508
"277",0.508
"278",0.762
"279",7.62
"280",0.508
"281",7.874
"282",1.016
"283",1.778
"284",5.334
"285",3.556
"286",3.048
"287",1.524
"288",3.302
"289",2.286
"290",1.27
"291",0.254
"292",0.508
"293",2.032
"294",9.398
"295",0.254
"296",1.778
"297",21.336
"298",1.016
"299",3.302
"300",42.164
"301",11.684
"302",12.954
"303",0.508
"304",13.716
"305",8.89
"306",5.08
"307",0.762
"308",12.192
"309",1.524
"310",0.254
"311",0.254
"312",1.778
"313",3.556
"314",2.032
"315",13.462
"316",3.302
"317",21.082
"318",4.826
"319",0.508
"320",6.096
"321",5.334
"322",1.016
"323",4.064
"324",0.762
"325",19.558
"326",5.842
"327",19.558
"328",1.016
"329",0.762
"330",11.938
"331",4.064
"332",0.254
"333",1.016
"334",4.064
"335",11.176
"336",0.254
"337",5.588
"338",0.508
"339",5.08
"340",7.366
"341",0.508
"342",14.224
"343",2.54
"344",1.016
"345",0.508
"346",1.27
"347",0.254
"348",0.508
"349",1.016
"350",3.048
"351",11.684
"352",3.302
"353",1.778
"354",12.446
"355",0.508
"356",15.24
"357",14.732
"358",4.064
"359",0.508
"360",2.286
"361",0.508
"362",1.27
"363",0.254
"364",6.858
"365",4.826
"366",2.54
"367",5.08
"368",12.7
"369",1.778
"370",12.192
"371",11.684
"372",1.27
"373",14.986
"374",10.16
"375",0.762
"376",2.286
"377",2.54
"378",1.016
"379",2.794
"380",6.096
"381",2.032
"382",4.064
"383",1.016
"384",1.524
"385",2.032
"386",1.016
"387",3.048
"388",0.254
"389",0.508
"390",0.762
"391",0.762
"392",2.032
"393",0.762
"394",2.794
"395",0.508
"396",1.27
"397",3.556
"398",3.048
"399",6.858
"400",12.446
"401",1.27
"402",0.762
"403",0.254
"404",5.08
"405",1.524
"406",23.114
"407",1.016
"408",13.97
"409",21.336
"410",8.382
"411",28.448
"412",0.508
"413",4.572
"414",12.446
"415",1.778
"416",9.398
"417",0.254
"418",4.826
"419",6.096
"420",15.24
"421",9.144
"422",4.572
"423",1.27
"424",0.254
"425",2.794
"426",3.302
"427",3.048
"428",25.146
"429",2.54
"430",10.922
"431",3.048
"432",1.524
"433",0.254
"434",8.636
"435",2.032
"436",1.016
"437",8.89
"438",2.794
"439",11.176
"440",19.05
"441",4.572
"442",5.08
"443",0.254
"444",16.256
"445",1.778
"446",2.286
"447",3.81
"448",6.096
"449",3.556
"450",0.508
"451",1.778
"452",0.762
"453",2.286
"454",1.27
"455",9.906
"456",0.254
"457",4.572
"458",12.192
"459",0.254
"460",0.254
"461",13.208
"462",10.16
"463",0.254
"464",2.032
"465",0.762
"466",0.762
"467",0.254
"468",2.032
"469",0.254
"470",25.146
"471",7.366
"472",19.304
"473",40.894
"474",8.89
"475",15.24
"476",0.254
"477",0.762
"478",3.048
"479",6.858
"480",9.906
"481",33.782
"482",0.508
"483",2.54
"484",1.778
"485",1.524
"486",0.254
"487",0.508
"488",1.016
"489",0.254
"490",13.97
"491",1.27
"492",12.7
"493",26.162
"494",4.572
"495",0.254
"496",1.524
"497",38.608
"498",7.62
"499",9.398
"500",3.302
"501",0.508
"502",0.254
"503",4.572
"504",12.446
"505",2.794
"506",0.762
"507",4.318
"508",1.778
"509",1.27
"510",0.508
"511",4.826
"512",29.718
"513",9.398
"514",1.524
"515",13.716
"516",17.78
"517",0.508
"518",6.35
"519",6.096
"520",1.524
"521",0.508
"522",2.032
"523",1.524
"524",9.144
"525",10.922
"526",2.286
"527",52.578
"528",12.192
"529",1.27
"530",13.716
"531",0.254
"532",1.778
"533",1.016
"534",1.524
"535",1.27
"536",1.27
"537",0.762
"538",0.762
"539",0.254
"540",1.016
"541",14.986
"542",9.906
"543",8.89
"544",1.778
"545",1.27
"546",0.762
"547",2.54
"548",14.732
"549",13.716
"550",24.384
"551",13.208
"552",40.386
"553",10.414
"554",7.112
"555",19.05
"556",2.54
"557",20.828
"558",0.254
"559",9.144
"560",1.27
"561",0.762
"562",1.27
"563",24.892
"564",6.858
"565",1.778
"566",0.254
"567",3.302
"568",3.048
"569",34.036
"570",4.318
"571",0.762
"572",0.254
"573",0.254
"574",7.62
"575",0.254
"576",40.132
"577",0.508
"578",4.318
"579",12.7
"580",22.86
"581",15.24
"582",5.08
"583",0.508
"584",18.288
"585",3.302
"586",3.048
"587",0.508
"588",0.508
"589",2.032
"590",1.524
"591",1.27
"592",5.588
"593",6.35
"594",3.302
"595",4.064
"596",8.636
"597",0.254
"598",1.778
"599",1.524
"600",39.624
"601",4.318
"602",0.762
"603",9.906
"604",0.762
"605",10.668
"606",22.098
"607",12.7
"608",2.54
"609",15.24
"610",15.24
"611",10.16
"612",5.08
"613",2.54
"614",2.54
"615",10.16
"616",15.24
"617",7.62
